tweet_id,dog_picture,retweet_count,favorite_count,dog_rating,breed,breed_info_link,breed_img_link,breed_info_text,dog_name,dog_stage
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,443,2344,8.0,welsh springer spaniel,https://dogtime.com/dog-breeds/welsh-springer-spaniel,https://www.dogtime.com/assets/uploads/2011/01/file_23000_welsh-springer-spaniel-300x189.jpg,"The Welsh Springer Spaniel dog breed was developed as a gundog to flush, or spring, game in the field. A faithful companion, they’re a favorite of discriminating hunters and families.",not mentioned,not mentioned
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,41,118,7.0,redbone coonhound,https://dogtime.com/dog-breeds/redbone-coonhound,https://www.dogtime.com/assets/uploads/2011/01/file_23248_redbone-coonhound-300x189.jpg,"The Redbone Coonhound dog breed is a medium-sized hound who has a gorgeous red coat, the pleading expression common to hounds everywhere, and a sweet voice that sings out when they’re on the hunt. However, they also bark a lot when they’re not on the hunt, and take a lot of patience to train.",not mentioned,not mentioned
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,39,107,9.0,german shepherd dog,https://dogtime.com/dog-breeds/german-shepherd-dog,https://www.dogtime.com/assets/uploads/2011/01/file_23188_german-shepherd-dog-300x189.jpg,The German Shepherd Dog is one of America’s most popular dog breeds — for good reasons. They’re intelligent and capable working dogs. Their devotion and courage are unmatched. And they’re amazingly versatile.,not mentioned,not mentioned
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,122,259,6.0,rhodesian ridgeback,https://dogtime.com/dog-breeds/rhodesian-ridgeback,https://www.dogtime.com/assets/uploads/2011/01/file_23042_rhodesian-ridgeback-300x189.jpg,"The handsome Rhodesian Ridgeback dog breed was created in Africa to be a versatile hunter and home guardian. These days, They’re less likely to hunt lions and more likely to hunt a soft spot on the sofa after going jogging with you.",not mentioned,not mentioned
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,38,93,5.0,miniature pinscher,https://dogtime.com/dog-breeds/miniature-pinscher,https://www.dogtime.com/assets/uploads/2011/01/file_23116_miniature-pinscher-300x189.jpg,"The Miniature Pinscher dog breed was originally bred in Germany to hunt vermin, primarily rats, in homes and stables. Many people think that they were developed by breeding Dobermans to progressively smaller sizes, and indeed, they look similar to Dobermans. However, the Min Pin is a distinct and much older breed.",not mentioned,not mentioned
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,51,119,10.0,bernese mountain dog,https://dogtime.com/dog-breeds/bernese-mountain-dog,https://www.dogtime.com/assets/uploads/2011/01/file_22912_bernese-mountain-dog-300x189.jpg,"The Bernese Mountain Dog is an extremely versatile working dog from the farmlands of Switzerland. They were developed to herd cattle, pull carts, and be watchdogs and loyal companions. They’re one of four types of Swiss Mountain Dogs, and the only one with long hair.",not mentioned,not mentioned
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,211,395,10.0,chow chow,https://dogtime.com/dog-breeds/chow-chow,https://www.dogtime.com/assets/uploads/2011/01/file_23144_chow-chow-300x189.jpg,"The distinctive-looking Chow Chow dog breed has a proud, independent spirit that some describe as catlike. They can be aloof — if you’re looking for a cuddle buddy, this probably isn’t the best breed for you — and downright suspicious of strangers. But for the right person, they can be a fiercely loyal companion.",not mentioned,not mentioned
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,49,103,8.0,poodle,https://dogtime.com/dog-breeds/poodle,https://www.dogtime.com/assets/uploads/2011/01/file_23200_poodle-300x189.jpg,"Elegant. Proud. Clever. The Poodle is an impressive dog, as the many best-in-show winners from this dog breed can attest. But behind the blue ribbons, impressive hairdos, and regal attitude, you’ll find an affectionate family dog with an ancient history and many talents.",not mentioned,not mentioned
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,188,430,10.0,golden retriever,https://dogtime.com/dog-breeds/golden-retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22980_golden-retriever-300x189.jpg,"The Golden Retriever is one of the most popular dog breeds in the United States. The breed’s friendly, tolerant attitude makes them great family pets, and their intelligence makes them highly capable working dogs.",not mentioned,not mentioned
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,52,133,9.0,gordon setter,https://dogtime.com/dog-breeds/gordon-setter,https://www.dogtime.com/assets/uploads/2011/01/file_22982_gordon-setter-300x189.jpg,"Originally bred to hunt pheasant and quail, Gordon Setters are still fine hunting companions and field trial competitors. Canines of this breed also compete in obedience, conformation, and agility, and they’re terrific family companion dogs.",not mentioned,not mentioned
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,140,279,10.0,treeing walker coonhound,https://dogtime.com/dog-breeds/treeing-walker-coonhound,https://www.dogtime.com/assets/uploads/2011/01/file_23250_treeing-walker-coonhound-300x189.jpg,"The Treeing Walker Coonhound dog breed has a short, clear bark and a passion for the hunt. Some are shy, some are confident, but they’re all hounds — meaning, they need patient training and plenty of exercise.",not mentioned,not mentioned
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,41,100,6.0,pug,https://dogtime.com/dog-breeds/pug,https://www.dogtime.com/assets/uploads/2011/01/file_23124_pug-300x189.jpg,"The Pug is often described as a lot of dog in a small space. These sturdy, compact dogs are a part of the American Kennel Club’s Toy group, and are known as the clowns of the canine world because they have a great sense of humor and like to show off.",not mentioned,not mentioned
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,65,152,9.0,bloodhound,https://dogtime.com/dog-breeds/bloodhound,https://www.dogtime.com/assets/uploads/2011/01/file_23016_bloodhound-300x189.jpg,"The Bloodhound’s ancestors were created in medieval France to trail deer and boar. Today, this is a highly active and intelligent dog breed whose keen sense of smell has found them a special place in law enforcement and search and rescue. Their fans love them for their sweet nature and unique appearance.",not mentioned,not mentioned
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,57,139,8.0,lhasapoo,https://dogtime.com/dog-breeds/lhasapoo,https://www.dogtime.com/assets/uploads/2020/02/lhasapoo-mixed-dog-breed-pictures-cover-650x368.jpg,"The Lhasapoo is a mixed breed dog–a cross between the Lhasa Apso and Poodle dog breeds. Protective, loyal, and playful, these pups inherited some of the best qualities from both of their parents.",not mentioned,not mentioned
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,11,69,11.0,english setter,https://dogtime.com/dog-breeds/english-setter,https://www.dogtime.com/assets/uploads/2011/01/file_22968_english-setter-300x189.jpg,"The English Setter dog breed was named for these dogs’ practice of “setting,” or crouching low, when they found birds so hunters could throw their nets over them. After the development of the gun, breeders developed the dog so they would stand in the more traditional Pointer style.",not mentioned,not mentioned
666273097616637952,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,69,156,11.0,italian greyhound,https://dogtime.com/dog-breeds/italian-greyhound,https://www.dogtime.com/assets/uploads/2011/01/file_23110_italian-greyhound-300x189.jpg,"The Italian Greyhound dog breed was a favorite companion of noblewomen in the Middle Ages, especially in Italy. But this small hound was more than a lapdog, having the speed, endurance, and determination to hunt small game. These days, they’re a family dog whose beauty and athleticism is admired in the show ring and in obedience, agility, and rally competitions.",not mentioned,not mentioned
666287406224695296,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,57,131,9.0,maltese,https://dogtime.com/dog-breeds/maltese,https://www.dogtime.com/assets/uploads/2011/01/file_23114_maltese-300x189.jpg,"A gentle and fearless dog breed, the Maltese greets everyone as a friend. Their glamorous white coat gives them a look of haughty nobility, but looks can be deceiving.",not mentioned,not mentioned
666345417576210432,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,128,266,10.0,golden retriever,https://dogtime.com/dog-breeds/golden-retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22980_golden-retriever-300x189.jpg,"The Golden Retriever is one of the most popular dog breeds in the United States. The breed’s friendly, tolerant attitude makes them great family pets, and their intelligence makes them highly capable working dogs.",not mentioned,not mentioned
666353288456101888,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,63,192,8.0,alaskan malamute,https://dogtime.com/dog-breeds/alaskan-malamute,https://www.dogtime.com/assets/uploads/2011/01/file_22908_alaskan-malamute-300x189.jpg,"The Alaskan Malamute features a powerful, sturdy body built for stamina and strength. It reigns as one of the oldest dog breeds whose original looks have not been significantly altered. This intelligent canine needs a job and consistent leadership to avoid becoming bored or challenging to handle.",not mentioned,not mentioned
666373753744588802,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,76,168,11.0,soft coated wheaten terrier,https://dogtime.com/dog-breeds/soft-coated-wheaten-terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23088_soft-coated-wheaten-terrier-300x189.jpg,"Sturdy and fun loving, the Soft Coated Wheaten Terrier dog breed is a friend to one and all. They’re relatively easygoing for a terrier, need a moderate amount of exercise, and can make a great family dog.",not mentioned,not mentioned
666396247373291520,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,72,151,9.0,chihuahua,https://dogtime.com/dog-breeds/chihuahua,https://www.dogtime.com/assets/uploads/2011/01/file_23102_chihuahua-300x189.jpg,"The Chihuahua dog breed‘s charms include their small size, big personality, and variety in coat types and colors. They’re all dog, fully capable of competing in dog sports such as agility and obedience, and are among the top ten watchdogs recommended by experts.",not mentioned,not mentioned
666407126856765440,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,31,98,7.0,black and tan coonhound,https://dogtime.com/dog-breeds/black-and-tan-coonhound,https://www.dogtime.com/assets/uploads/2011/01/file_23014_black-and-tan-coonhound-300x189.jpg,"Born in the USA, the outgoing and friendly Black and Tan Coonhound is a versatile companion who shines in the show ring and field. At home, they’re a superb playmate, jogging or walking companion, and bed warmer.",not mentioned,not mentioned
666418789513326592,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,40,110,10.0,toy fox terrier,https://dogtime.com/dog-breeds/toy-fox-terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23130_toy-fox-terrier-300x189.jpg,"Originally created as a smaller version of their larger Smooth Fox Terrier dog breed ancestors, the Toy Fox Terrier has been used for a variety of tasks, serving as ratters on farms and as hunters of small game such as squirrel. Their most important purpose, however, is to be loyal, loving, and devoted companions who amuse and entertain their families.",Walter,not mentioned
666421158376562688,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,95,289,12.0,cavalier king charles spaniel,https://dogtime.com/dog-breeds/cavalier-king-charles-spaniel,https://www.dogtime.com/assets/uploads/2011/01/file_23100_cavalier-king-charles-spaniel-300x189.jpg,"Although they’re born to be a companion, the Cavalier King Charles Spaniel dog breed retains the sporty nature of their spaniel ancestors. If they’re not sitting on a lap or getting a belly rub, nothing makes them happier than to flush a bird and then attempt to retrieve it.",not mentioned,not mentioned
666428276349472768,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,71,147,7.0,pembroke welsh corgi,https://dogtime.com/dog-breeds/pembroke-welsh-corgi,https://www.dogtime.com/assets/uploads/2011/01/file_23192_pembroke-welsh-corgi-300x189.jpg,"Originally bred to herd cattle, sheep, and horses, the Pembroke Welsh Corgi is an active and intelligent dog breed. Easy to train and eager to learn, Pembrokes are great with children and other pets, and you can find them in four different coat colors and markings.",not mentioned,not mentioned
666435652385423360,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,45,146,10.0,chesapeake bay retriever,https://dogtime.com/dog-breeds/chesapeake-bay-retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22958_chesapeake-bay-retriever-300x189.jpg,"The Chesapeake Bay Retriever dog breed originated as a water dog used to hunt and retrieve ducks in the chilly chop of Maryland’s Chesapeake Bay. The dog’s sturdy build, dense coat, stamina, and strength made them ideal for this purpose.",not mentioned,not mentioned
666437273139982337,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg,42,110,7.0,chihuahua,https://dogtime.com/dog-breeds/chihuahua,https://www.dogtime.com/assets/uploads/2011/01/file_23102_chihuahua-300x189.jpg,"The Chihuahua dog breed‘s charms include their small size, big personality, and variety in coat types and colors. They’re all dog, fully capable of competing in dog sports such as agility and obedience, and are among the top ten watchdogs recommended by experts.",not mentioned,not mentioned
666447344410484738,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,18,94,9.0,curly coated retriever,https://dogtime.com/dog-breeds/curly-coated-retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22964_curly-coated-retriever-300x189.jpg,"Created to retrieve game from land or water, the Curly-Coated Retriever dog breed was popular with English gamekeepers, hunters, and poachers alike. Today they compete in such dog sports as field trials, agility, obedience, and flyball and have found use as therapy dogs, drug sniffing dogs, and search and rescue dogs.",Scout,not mentioned
666454714377183233,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,191,465,10.0,dalmatian,https://dogtime.com/dog-breeds/dalmatian,https://www.dogtime.com/assets/uploads/2011/01/file_23146_dalmatian-300x189.jpg,"Best known as the star of Disney’s 101 Dalmatians, this sleek and athletic Dalmatian dog breed has a history that goes back several hundred years. They started out as a coach dog but also served in many other capacities, including hunter, firehouse dog, and circus performer.",Kreggory,not mentioned
666644823164719104,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg,73,216,9.0,ibizan hound,https://dogtime.com/dog-breeds/ibizan-hound,https://www.dogtime.com/assets/uploads/2011/01/file_23028_ibizan-hound-300x189.jpg,"The Ibizan Hound was originally bred to hunt rabbits and small game on the Balearic island of Ibiza. Today, the Ibizan Hound dog breed is still used in that capacity in Spain and elsewhere. Ibizan Hounds also compete in lure coursing, agility, obedience, conformation, and tracking, in addition to being much-loved family companions.",Jimothy,not mentioned
666649482315059201,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg,564,1023,4.0,border collie,https://dogtime.com/dog-breeds/border-collie,https://www.dogtime.com/assets/uploads/2011/01/file_23178_border-collie-300x189.jpg,"The Border Collie dog breed was developed to gather and control sheep in the hilly border country between Scotland and England. They’re known for their intense stare, or “eye,” with which they control their flock. They’re dogs with unlimited energy, stamina, and working drive, all of which make them a premier herding dog; Border Collies are still used today to herd sheep on farms and ranches around the world.",not mentioned,not mentioned
